1,1,1,0,1,1,1,1,0.9900,1,0.9926
2,1,1,0,0,0,0,0.75,0.7497,1,0.8668
3,1,1,0,0,0.5,0.5,0.85,0.8503,1,0.9222
4,0.5,1,0,0,0.5,0.5,0.8,0.8001,1,0.8668
5,0.5,0.5,0,0,0.1,0.3,0.1,0.1007,-1,0.1982
6,0,1,0,0,0.1,0.2,0.2,0.2000,-1,0.2270
7,1,0.5,0,1,0.5,0.3,0.65,0.6500,1,0.9031
8,0,0,0,0,0,0,0,0.0002,-1,0.1252
9,0.5,1,0,0,1,1,0.85,0.8500,1,0.9315
10,0.5,0.5,0,1,1,1,0.8,0.8005,1,0.9482
11,1,1,0,1,0,0,0.9,0.9003,1,0.9263
12,0.5,0.5,0,0,0.5,0,0.15,0.1499,-1,0.2270
13,0,0,0,1,1,1,0.65,0.6498,1,0.8668
14,0,0,1,1,1,1,0.9,0.9002,1,0.9782
15,0,0,1,0,0.5,0,0.8,0.8000,1,0.8808
16,0,0,1,1,0.5,0.5,0.85,0.8498,1,0.9577
17,0,0,1,0,0,0,0.8,0.6900,1,0.8668
18,0.5,0.5,0,0,0.5,1,0.3,0.2998,-1,0.1727